iter	RMSE
0	7.041613669
1	7.011248917
2	6.982296956
3	6.952436915
4	6.924817234
5	6.902690921
6	6.877834292
7	6.855763089
8	6.835889924
9	6.814684231
10	6.795711768
11	6.777570199
12	6.759474376
13	6.739560095
14	6.723654176
15	6.709380014
16	6.692945996
17	6.679846393
18	6.667845996
19	6.653616152
20	6.641814611
21	6.630251608
22	6.615837728
23	6.605580722
24	6.595682761
25	6.587669526
26	6.578597268
27	6.57233259
28	6.562594475
29	6.552784188
30	6.543852489
31	6.53640969
32	6.526210507
33	6.51621943
34	6.509263702
35	6.502078771
36	6.495492654
37	6.488147307
38	6.481805857
39	6.474375795
40	6.467748459
41	6.460803408
42	6.452957828
43	6.447095357
44	6.441342172
45	6.434937346
46	6.427816096
47	6.422950123
48	6.416718405
49	6.412630035
50	6.407018045
51	6.40168115
52	6.39611567
53	6.389861378
54	6.384887265
55	6.377955103
56	6.372465163
57	6.36852191
58	6.364368804
59	6.360579783
60	6.355520413
61	6.351098148
62	6.345955852
63	6.341288978
64	6.336765695
65	6.331302644
66	6.326688188
67	6.32257824
68	6.319242281
69	6.315730089
70	6.312720248
71	6.309367603
72	6.305406253
73	6.301553236
74	6.297145329
75	6.29491554
76	6.291859327
77	6.288185477
78	6.285853474
79	6.282478276
80	6.279482859
81	6.276832298
82	6.273370701
83	6.26963007
84	6.265943012
85	6.263018842
86	6.260245496
87	6.257286061
88	6.254082731
89	6.252030535
90	6.250243577
91	6.247600323
92	6.24503392
93	6.242707177
94	6.240176584
95	6.238028331
96	6.235935487
97	6.233241012
98	6.231574092
99	6.229713162
100	6.227624201
101	6.22526654
102	6.223298437
103	6.220872183
104	6.218632822
105	6.215755324
106	6.213342962
107	6.211077568
108	6.209327307
109	6.207345764
110	6.205297492
111	6.203214848
112	6.200759153
113	6.19801412
114	6.196076056
115	6.194024917
116	6.192879041
117	6.190680405
118	6.188380232
119	6.186747837
120	6.184987609
121	6.183856865
122	6.181830714
123	6.180241045
124	6.178540091
125	6.17677615
126	6.17495422
127	6.17333408
128	6.172157102
129	6.170733893
130	6.16955714
131	6.167824017
132	6.166256527
133	6.165098962
134	6.162984526
135	6.161771611
136	6.160503503
137	6.158749321
138	6.15669387
139	6.155369492
140	6.153968476
141	6.152069685
142	6.150571712
143	6.149430057
144	6.148449671
145	6.147369235
146	6.146492254
147	6.144651413
148	6.143573064
149	6.142381342
150	6.141069111
151	6.139485682
152	6.138215515
153	6.136546566
154	6.135476695
155	6.134354839
156	6.133337184
157	6.13235022
158	6.131123018
159	6.130139807
160	6.129165149
161	6.127623348
162	6.126914386
163	6.12523295
164	6.124100871
165	6.122648419
166	6.121115022
167	6.119579038
168	6.118656119
169	6.1173931
170	6.116272418
171	6.115363683
172	6.114054161
173	6.112538686
174	6.11171814
175	6.11055375
176	6.10944577
177	6.107723351
178	6.106179516
179	6.105326285
180	6.104633763
181	6.103336446
182	6.101665637
183	6.100660139
184	6.100169059
185	6.099387258
186	6.098492395
187	6.097122821
188	6.095799201
189	6.094694213
190	6.093592943
191	6.093126853
192	6.092166759
193	6.090872077
194	6.089977957
195	6.088881461
196	6.087963728
197	6.087299423
198	6.086300407
199	6.085047091
200	6.084467159
201	6.083580456
202	6.082407692
203	6.081793619
204	6.081259825
205	6.080489982
206	6.079843826
207	6.079011437
208	6.078490398
209	6.077995683
210	6.07728081
211	6.076514679
212	6.075744414
213	6.07477694
214	6.07420392
215	6.073370395
