iter	Passed	Remaining
0	142	142168
1	180	89825
2	219	72956
3	254	63465
4	288	57476
5	324	53799
6	360	51152
7	396	49106
8	432	47612
9	467	46303
10	503	45238
11	537	44282
12	574	43606
13	609	42920
14	645	42397
15	678	41732
16	713	41244
17	752	41058
18	788	40694
19	823	40361
20	857	39959
21	890	39595
22	924	39262
23	959	39025
24	996	38846
25	1029	38584
26	1066	38422
27	1102	38269
28	1138	38125
29	1174	37986
30	1209	37820
31	1244	37654
32	1278	37458
33	1316	37401
34	1348	37167
35	1386	37139
36	1421	36994
37	1458	36931
38	1493	36796
39	1528	36690
40	1564	36587
41	1603	36581
42	1639	36480
43	1674	36382
44	1710	36310
45	1751	36320
46	1784	36178
47	1819	36085
48	1854	35991
49	1889	35893
50	1924	35803
51	1958	35707
52	1994	35632
53	2027	35515
54	2064	35479
55	2100	35400
56	2135	35327
57	2171	35270
58	2204	35162
59	2239	35088
60	2276	35038
61	2311	34969
62	2349	34947
63	2385	34893
64	2418	34793
65	2453	34727
66	2491	34693
67	2526	34629
68	2566	34624
69	2598	34524
70	2634	34474
71	2672	34442
72	2707	34382
73	2742	34316
74	2776	34247
75	2816	34245
76	2850	34173
77	2885	34106
78	2921	34065
79	2954	33974
80	2988	33905
81	3024	33854
82	3059	33798
83	3093	33733
84	3132	33716
85	3164	33635
86	3203	33618
87	3238	33563
88	3272	33499
89	3306	33436
90	3343	33393
91	3376	33328
92	3414	33301
93	3450	33260
94	3486	33211
95	3518	33136
96	3554	33087
97	3590	33044
98	3623	32981
99	3659	32934
100	3692	32863
101	3729	32831
102	3767	32811
103	3803	32768
104	3837	32708
105	3873	32666
106	3909	32624
107	3944	32575
108	3978	32518
109	4015	32489
110	4049	32428
111	4082	32371
112	4119	32337
113	4156	32301
114	4192	32263
115	4231	32246
116	4268	32211
117	4301	32151
118	4337	32112
119	4372	32062
120	4407	32015
121	4440	31957
122	4474	31905
123	4509	31854
124	4543	31805
125	4581	31778
126	4619	31751
127	4653	31705
128	4687	31650
129	4723	31608
130	4758	31567
131	4795	31532
132	4832	31499
133	4866	31451
134	4901	31403
135	4935	31355
136	4968	31299
137	5005	31265
138	5040	31221
139	5074	31173
140	5108	31124
141	5148	31107
142	5186	31079
143	5222	31043
144	5255	30991
145	5290	30947
146	5325	30899
147	5359	30853
148	5393	30802
149	5425	30745
150	5460	30700
151	5497	30671
152	5533	30631
153	5567	30586
154	5602	30540
155	5637	30497
156	5671	30453
157	5706	30411
158	5740	30365
159	5773	30311
160	5808	30267
161	5842	30224
162	5876	30176
163	5910	30128
164	5943	30079
165	5975	30023
166	6010	29978
167	6049	29959
168	6083	29913
169	6118	29872
170	6153	29834
171	6188	29789
172	6224	29757
173	6264	29740
174	6299	29698
175	6333	29650
176	6368	29609
177	6405	29579
178	6440	29541
179	6474	29496
180	6509	29453
181	6542	29405
182	6579	29375
183	6613	29328
184	6645	29276
185	6679	29230
186	6722	29225
187	6758	29190
188	6792	29147
189	6832	29126
190	6865	29078
191	6898	29030
192	6932	28988
193	6968	28950
194	7002	28906
195	7035	28860
196	7071	28825
197	7107	28788
198	7146	28766
199	7179	28718
200	7216	28686
201	7252	28651
202	7287	28611
203	7320	28563
204	7354	28522
205	7390	28486
206	7426	28449
207	7460	28406
208	7496	28373
209	7531	28333
210	7565	28291
211	7599	28247
212	7634	28209
213	7669	28169
214	7703	28126
215	7738	28089
216	7780	28075
217	7816	28038
218	7849	27992
219	7882	27946
220	7918	27911
221	7955	27879
222	7987	27830
223	8020	27785
224	8055	27746
225	8090	27708
226	8124	27666
227	8158	27624
228	8194	27589
229	8229	27551
230	8264	27513
231	8299	27475
232	8332	27430
233	8365	27384
234	8400	27346
235	8437	27314
236	8472	27274
237	8506	27236
238	8538	27187
239	8575	27154
240	8608	27110
241	8641	27068
242	8675	27027
243	8713	26996
244	8746	26954
245	8781	26916
246	8815	26875
247	8849	26832
248	8882	26791
249	8917	26753
250	8952	26715
251	8988	26680
252	9024	26644
253	9058	26605
254	9091	26561
255	9128	26528
256	9162	26489
257	9198	26455
258	9233	26417
259	9268	26380
260	9302	26339
261	9335	26296
262	9370	26259
263	9405	26222
264	9441	26187
265	9476	26148
266	9513	26118
267	9549	26083
268	9585	26049
269	9620	26011
270	9656	25976
271	9690	25937
272	9727	25904
273	9762	25866
274	9796	25826
275	9830	25787
276	9864	25748
277	9899	25710
278	9931	25666
279	9965	25626
280	9999	25584
281	10033	25545
282	10067	25506
283	10103	25471
284	10137	25432
285	10173	25397
286	10204	25352
287	10238	25312
288	10271	25271
289	10306	25232
290	10338	25189
291	10379	25167
292	10415	25131
293	10448	25091
294	10483	25054
295	10518	25016
296	10554	24981
297	10587	24942
298	10620	24899
299	10654	24860
300	10693	24832
301	10729	24799
302	10764	24762
303	10798	24723
304	10832	24684
305	10866	24645
306	10900	24606
307	10946	24595
308	10981	24556
309	11016	24520
310	11048	24477
311	11084	24443
312	11120	24409
313	11156	24373
314	11187	24327
315	11221	24289
316	11255	24251
317	11293	24220
318	11325	24178
319	11364	24149
320	11398	24110
321	11435	24077
322	11468	24036
323	11502	23998
324	11537	23963
325	11575	23933
326	11610	23895
327	11644	23857
328	11680	23821
329	11712	23779
330	11747	23743
331	11780	23703
332	11816	23668
333	11848	23625
334	11881	23586
335	11916	23549
336	11954	23518
337	11986	23476
338	12020	23438
339	12054	23399
340	12088	23362
341	12120	23319
342	12153	23279
343	12189	23244
344	12228	23215
345	12262	23178
346	12292	23131
347	12324	23091
348	12361	23058
349	12396	23021
350	12438	22998
351	12493	22999
352	12536	22978
353	12569	22937
354	12604	22902
355	12642	22870
356	12676	22831
357	12708	22789
358	12744	22756
359	12777	22715
360	12811	22677
361	12845	22638
362	12879	22600
363	12913	22562
364	12945	22521
365	12981	22486
366	13015	22449
367	13060	22430
368	13097	22396
369	13133	22362
370	13166	22322
371	13201	22285
372	13235	22249
373	13271	22214
374	13307	22179
375	13341	22141
376	13375	22103
377	13411	22068
378	13446	22032
379	13480	21994
380	13514	21956
381	13548	21919
382	13582	21880
383	13615	21841
384	13648	21802
385	13682	21764
386	13716	21726
387	13751	21691
388	13784	21651
389	13818	21613
390	13852	21576
391	13885	21537
392	13921	21502
393	13955	21463
394	13987	21423
395	14022	21388
396	14060	21355
397	14094	21318
398	14130	21283
399	14167	21251
400	14202	21215
401	14235	21176
402	14269	21139
403	14303	21101
404	14340	21068
405	14377	21034
406	14410	20996
407	14444	20959
408	14479	20923
409	14512	20884
410	14548	20849
411	14582	20812
412	14615	20773
413	14649	20735
