uniqueid,target
test_id0,56590837.89805423
test_id1,56582401.442496024
test_id2,-227167385.50768137
test_id3,54156507.97693848
test_id4,56593438.379315235
test_id5,55835713.15052625
test_id6,56587153.98612444
test_id7,56370049.030064896
test_id8,56591348.2011703
test_id9,54415563.09772073
test_id10,50047748.15779006
test_id11,-810970117.744464
test_id12,56587174.50440533
test_id13,56602052.081526816
test_id14,56437995.21618273
test_id15,41894919.12126129
test_id16,52543620.4582799
test_id17,56597279.89224448
test_id18,55666575.644569926
test_id19,55974741.52015165
test_id20,56587052.67732741
test_id21,54426379.28244324
test_id22,56359410.46672814
test_id23,55525507.73992254
test_id24,-472115667.515012
test_id25,55325816.11317119
test_id26,56632141.14209518
test_id27,56467658.413459554
test_id28,54100259.728212155
test_id29,52200631.70862855
test_id30,54749355.38381528
test_id31,55764760.28316182
test_id32,-169338653.92628512
test_id33,54831213.029072456
test_id34,56591354.556653894
test_id35,56582173.15892456
test_id36,56587177.37799158
test_id37,56586755.28872112
test_id38,56417083.142396584
test_id39,56584352.361444265
test_id40,54203949.202003814
test_id41,56588481.157190055
test_id42,56228930.93860154
test_id43,56587157.07899769
test_id44,42996529.06890696
test_id45,-226774384.87983358
test_id46,56583647.91853336
test_id47,52064028.05546817
test_id48,56483037.429870695
test_id49,56549377.23450666
test_id50,56587173.006780066
test_id51,56265916.05073922
test_id52,-2120612.698541321
test_id53,55867667.40203983
test_id54,56590195.33818775
test_id55,54332317.565660015
test_id56,55670946.49039477
test_id57,31926290.779626098
test_id58,55844630.37086143
test_id59,55704297.71614475
test_id60,31484833.76390856
test_id61,55267391.98766359
test_id62,50064177.68401188
test_id63,53503940.286107115
test_id64,56577436.258091696
test_id65,-780577494.3094703
test_id66,56480949.72273085
test_id67,53570840.607863955
test_id68,56185983.91582085
test_id69,54765022.11525338
test_id70,52137465.79612068
test_id71,56411031.28551426
test_id72,56032328.23765791
test_id73,-591072320.8779346
test_id74,35582110.10337527
test_id75,56570322.981122084
test_id76,55294948.80340093
test_id77,-343133456.3258028
test_id78,56582682.5215838
test_id79,54769621.526640356
test_id80,41899380.26820733
test_id81,56603514.787126034
test_id82,44044894.82206395
test_id83,54205754.75031756
test_id84,54385306.87975939
test_id85,50428263.527083114
test_id86,54593853.40409989
test_id87,56596455.60203619
test_id88,57001755.8112204
test_id89,50470312.27925789
test_id90,55220205.96120428
test_id91,56592241.827188924
test_id92,56400394.271357045
test_id93,24977559.44153854
test_id94,56377815.9244301
test_id95,55933510.116259724
test_id96,56563255.246224545
test_id97,56590445.94820526
test_id98,56606147.573440574
test_id99,56605403.65685625
test_id100,56587168.853496246
test_id101,24764814.04581207
test_id102,56587171.25235865
test_id103,56587154.43509472
test_id104,-93511289.58701563
test_id105,13258925.85192842
test_id106,56544403.87733775
test_id107,-723128187.9699098
test_id108,56452212.030591674
test_id109,43656525.74838561
test_id110,55749410.05475117
test_id111,56572261.87430476
test_id112,54521570.5562236
test_id113,-1359181940.6156332
test_id114,55877631.06967789
test_id115,39468375.29534367
test_id116,53686002.2241464
test_id117,56565556.78561041
test_id118,56587172.01142002
test_id119,56513736.46019777
test_id120,56587199.058125064
test_id121,56592091.4197647
test_id122,56240352.85522346
test_id123,56599936.66990762
test_id124,51310755.38982066
test_id125,45789996.75604574
test_id126,56246458.958033666
test_id127,56493610.65754856
test_id128,55502744.80977511
test_id129,55812629.24243982
test_id130,55432347.53935068
test_id131,-2103013969.9157639
test_id132,44770112.87736264
test_id133,56470202.7542476
test_id134,56585200.72431047
test_id135,56585756.31821739
test_id136,56587171.80279268
test_id137,56585019.12529108
test_id138,-471782514.82473415
test_id139,56593189.86406542
test_id140,56519934.015469395
test_id141,-22169974.085859545
